Data,Wartosc
05/01/1998,100
06/01/1998,100
07/01/1998,100
08/01/1998,100
09/01/1998,100
12/01/1998,100.25
13/01/1998,100.29
14/01/1998,100.37
15/01/1998,100.41
16/01/1998,100.47
19/01/1998,100.82
20/01/1998,100.47
21/01/1998,100.47
22/01/1998,99.86
23/01/1998,99.9
26/01/1998,99.95
27/01/1998,99.48
28/01/1998,100.47
29/01/1998,101.57
30/01/1998,101.66
02/02/1998,102.64
03/02/1998,103.75
04/02/1998,102.26
05/02/1998,101.18
06/02/1998,102.9
09/02/1998,106.16
10/02/1998,112.24
11/02/1998,110.49
12/02/1998,108.42
13/02/1998,106.35
16/02/1998,105.85
17/02/1998,105.22
18/02/1998,106.31
19/02/1998,107.25
20/02/1998,107.6
23/02/1998,108.4
24/02/1998,108.95
25/02/1998,108.5
26/02/1998,111.63
27/02/1998,112.26
02/03/1998,111.7
03/03/1998,111.91
04/03/1998,110.64
05/03/1998,108.52
06/03/1998,108.14
09/03/1998,109.18
10/03/1998,110.03
11/03/1998,110.35
12/03/1998,109.63
13/03/1998,110.02
16/03/1998,109.83
17/03/1998,111.02
18/03/1998,110.32
19/03/1998,110.38
20/03/1998,110.17
23/03/1998,110.21
24/03/1998,110.51
25/03/1998,110.42
26/03/1998,110.15
27/03/1998,108.94
30/03/1998,107.86
31/03/1998,106.13
01/04/1998,105.95
02/04/1998,105.6
06/04/1998,100.02
07/04/1998,103.73
08/04/1998,103.33
09/04/1998,102.55
14/04/1998,103.19
15/04/1998,103.73
16/04/1998,103.17
17/04/1998,101.19
20/04/1998,101.75
21/04/1998,101.15
22/04/1998,101.18
23/04/1998,101.78
24/04/1998,102.32
27/04/1998,102.93
18/05/1998,99.53
19/05/1998,98.68
20/05/1998,98.18
21/05/1998,99.6
22/05/1998,100.49
25/05/1998,100.3
26/05/1998,100.11
27/05/1998,97.46
28/05/1998,95.83
29/05/1998,95.52
01/06/1998,92.68
02/06/1998,90.56
03/06/1998,91.13
04/06/1998,91.38
05/06/1998,91.14
08/06/1998,91.59
09/06/1998,90.23
10/06/1998,85.88
15/06/1998,84.21
16/06/1998,83.98
17/06/1998,86.92
18/06/1998,88.67
19/06/1998,87.6
22/06/1998,87.65
23/06/1998,87.66
24/06/1998,87.24
25/06/1998,87.09
26/06/1998,87.59
29/06/1998,87.21
30/06/1998,87.33
01/07/1998,88.08
02/07/1998,88.75
03/07/1998,89.5
06/07/1998,90.4
07/07/1998,91.16
08/07/1998,90.89
09/07/1998,90.28
10/07/1998,90.19
13/07/1998,91.67
14/07/1998,94.94
15/07/1998,95.39
16/07/1998,94.6
17/07/1998,96.2
20/07/1998,95.47
21/07/1998,96.65
22/07/1998,95.69
23/07/1998,95.54
24/07/1998,95.27
27/07/1998,94.85
28/07/1998,93.92
29/07/1998,92.83
30/07/1998,92.91
31/07/1998,93.44
03/08/1998,91.86
04/08/1998,91.61
05/08/1998,91.07
06/08/1998,91.77
07/08/1998,91.69
10/08/1998,91.96
11/08/1998,90.97
12/08/1998,90.82
13/08/1998,90.25
14/08/1998,90.36
17/08/1998,89.31
18/08/1998,89.52
19/08/1998,91.14
20/08/1998,91.35
21/08/1998,90.06
24/08/1998,89.63
25/08/1998,89.91
26/08/1998,89.55
27/08/1998,86.73
28/08/1998,81.92
31/08/1998,80.81
01/09/1998,77.09
02/09/1998,80.23
03/09/1998,80.01
04/09/1998,80.16
07/09/1998,83.55
08/09/1998,84.25
09/09/1998,84.11
10/09/1998,83.08
11/09/1998,81.34
14/09/1998,82.05
15/09/1998,81.03
16/09/1998,80.81
17/09/1998,79.24
18/09/1998,77.68
21/09/1998,75.29
22/09/1998,76.67
23/09/1998,77.11
24/09/1998,78.73
25/09/1998,76.46
28/09/1998,77.17
29/09/1998,76.88
30/09/1998,74.36
01/10/1998,71.05
02/10/1998,69.92
05/10/1998,67.7
06/10/1998,66.85
07/10/1998,66.7
08/10/1998,65.98
09/10/1998,67.41
12/10/1998,68.64
13/10/1998,68.26
14/10/1998,66.95
15/10/1998,65.71
16/10/1998,67.82
19/10/1998,66.46
20/10/1998,66.89
21/10/1998,66.7
22/10/1998,68.59
23/10/1998,69.78
26/10/1998,72.23
27/10/1998,71.74
28/10/1998,69.82
29/10/1998,70.69
30/10/1998,72.67
02/11/1998,76.36
03/11/1998,75.27
04/11/1998,76.46
05/11/1998,75.18
06/11/1998,75.85
09/11/1998,76.43
10/11/1998,77.08
12/11/1998,76.78
13/11/1998,78.24
16/11/1998,81.31
17/11/1998,79.67
18/11/1998,79.86
19/11/1998,79.11
20/11/1998,77.98
23/11/1998,78.28
24/11/1998,77.47
25/11/1998,76.55
26/11/1998,76.71
27/11/1998,75.6
30/11/1998,74.55
01/12/1998,72.59
02/12/1998,72.3
03/12/1998,73.6
04/12/1998,74.15
07/12/1998,76.22
08/12/1998,75.92
09/12/1998,76.51
10/12/1998,75.43
11/12/1998,74.46
14/12/1998,74.01
15/12/1998,73.84
16/12/1998,73.78
17/12/1998,73.63
18/12/1998,73.57
21/12/1998,73.04
22/12/1998,73.76
23/12/1998,74.98
28/12/1998,77.15
29/12/1998,76.12
30/12/1998,75.83
31/12/1998,76.72
04/01/1999,77.66
05/01/1999,77.3
06/01/1999,79.03
07/01/1999,78.98
08/01/1999,80.92
11/01/1999,80.52
12/01/1999,80.05
13/01/1999,76.3
14/01/1999,77.33
15/01/1999,76.95
18/01/1999,79.13
19/01/1999,79.21
20/01/1999,79.7
21/01/1999,79.2
22/01/1999,77.97
25/01/1999,77.87
26/01/1999,78.31
27/01/1999,78.81
28/01/1999,78.9
29/01/1999,80.26
01/02/1999,81.27
02/02/1999,81.6
03/02/1999,83.13
04/02/1999,85.15
05/02/1999,83.99
08/02/1999,85.39
09/02/1999,84.7
10/02/1999,84.18
11/02/1999,85.49
12/02/1999,86.95
15/02/1999,91.48
16/02/1999,93.36
17/02/1999,91.01
18/02/1999,93.29
19/02/1999,93.59
22/02/1999,94.21
23/02/1999,91.89
24/02/1999,91.14
25/02/1999,88.67
26/02/1999,89.38
01/03/1999,89.77
02/03/1999,88.78
03/03/1999,87.33
04/03/1999,86.1
05/03/1999,88.23
08/03/1999,89.95
09/03/1999,90.87
10/03/1999,89.99
11/03/1999,90.43
12/03/1999,91.54
15/03/1999,89.54
16/03/1999,89.36
17/03/1999,89.21
18/03/1999,89.33
19/03/1999,91.01
22/03/1999,89.62
23/03/1999,88.62
24/03/1999,86.82
25/03/1999,88.48
26/03/1999,88.23
29/03/1999,87.56
30/03/1999,87.99
31/03/1999,88.32
01/04/1999,88.31
06/04/1999,88.31
07/04/1999,87.64
08/04/1999,86.77
09/04/1999,86.36
12/04/1999,85.12
13/04/1999,85.54
14/04/1999,87.45
15/04/1999,89.18
16/04/1999,88.66
19/04/1999,90.41
20/04/1999,89.66
21/04/1999,90.28
22/04/1999,91.85
23/04/1999,92.16
26/04/1999,92.04
27/04/1999,92.19
28/04/1999,90.9
29/04/1999,89.44
30/04/1999,89.82
04/05/1999,89.49
05/05/1999,89.11
06/05/1999,89.02
07/05/1999,89.2
10/05/1999,88.92
11/05/1999,92.21
12/05/1999,90.5
13/05/1999,92.08
14/05/1999,89.56
17/05/1999,88.36
18/05/1999,88.8
19/05/1999,89.4
20/05/1999,90.43
21/05/1999,90.8
24/05/1999,92.4
25/05/1999,92.09
26/05/1999,92.27
27/05/1999,91.23
28/05/1999,90.66
31/05/1999,90.23
01/06/1999,89.9
02/06/1999,90.06
07/06/1999,90.4
08/06/1999,89.89
09/06/1999,90.37
10/06/1999,89.87
11/06/1999,90.35
14/06/1999,90.6
15/06/1999,92.47
16/06/1999,91.33
17/06/1999,90.74
18/06/1999,91.02
21/06/1999,91.89
22/06/1999,90.98
23/06/1999,90.08
24/06/1999,90.05
25/06/1999,89.89
28/06/1999,89.2
29/06/1999,87.96
30/06/1999,87.59
01/07/1999,88.85
02/07/1999,87.99
05/07/1999,88.05
06/07/1999,88.66
07/07/1999,87.58
08/07/1999,87.05
09/07/1999,86.93
12/07/1999,87.02
13/07/1999,86.14
14/07/1999,86.14
15/07/1999,85.57
16/07/1999,85.52
19/07/1999,86.04
20/07/1999,85.78
21/07/1999,84.87
22/07/1999,84.93
23/07/1999,85.42
26/07/1999,85.18
27/07/1999,85.33
28/07/1999,85.6
29/07/1999,85.12
30/07/1999,85.81
02/08/1999,85.6
03/08/1999,85.18
04/08/1999,84.81
05/08/1999,84.82
06/08/1999,85.15
09/08/1999,85.74
10/08/1999,85.35
11/08/1999,86.46
12/08/1999,86.58
13/08/1999,86.64
16/08/1999,87.25
17/08/1999,86.65
18/08/1999,86.62
19/08/1999,86.3
20/08/1999,86.46
23/08/1999,86.48
24/08/1999,86.59
25/08/1999,85.6
26/08/1999,85.99
27/08/1999,87.26
30/08/1999,87.38
31/08/1999,86.65
01/09/1999,86.54
02/09/1999,86.18
03/09/1999,86.26
06/09/1999,86.29
07/09/1999,86.37
08/09/1999,85.24
09/09/1999,85.53
10/09/1999,85.64
13/09/1999,84.13
14/09/1999,82.4
15/09/1999,81.09
16/09/1999,80.05
17/09/1999,81.38
20/09/1999,80.55
21/09/1999,79.19
22/09/1999,77.4
23/09/1999,77.68
24/09/1999,74.16
27/09/1999,74.85
28/09/1999,74.09
29/09/1999,74.01
30/09/1999,73.88
01/10/1999,73.73
04/10/1999,75.06
05/10/1999,75.93
06/10/1999,77.01
07/10/1999,77.6
08/10/1999,77.73
11/10/1999,77.21
12/10/1999,76.89
13/10/1999,76.31
14/10/1999,76.85
15/10/1999,75.63
18/10/1999,75.06
19/10/1999,74.93
20/10/1999,76.19
21/10/1999,76.1
22/10/1999,76.45
25/10/1999,76.4
26/10/1999,76.26
27/10/1999,75.9
28/10/1999,76.19
29/10/1999,76.62
02/11/1999,76.36
03/11/1999,76.39
04/11/1999,75.14
05/11/1999,74.03
08/11/1999,73.06
09/11/1999,73.64
10/11/1999,73.11
15/11/1999,73.09
16/11/1999,73.31
17/11/1999,74.23
18/11/1999,75.12
19/11/1999,77.52
22/11/1999,78.63
23/11/1999,77.77
24/11/1999,78.97
25/11/1999,80.1
26/11/1999,79.95
29/11/1999,78.33
30/11/1999,80.43
01/12/1999,81.32
02/12/1999,80.91
03/12/1999,81.02
06/12/1999,82.48
07/12/1999,83.62
08/12/1999,82.78
09/12/1999,83.28
10/12/1999,83.53
13/12/1999,84.6
14/12/1999,84.35
15/12/1999,83.31
16/12/1999,83.14
17/12/1999,83.97
20/12/1999,84.49
21/12/1999,84.05
22/12/1999,85.68
23/12/1999,87.01
27/12/1999,91.46
28/12/1999,89.52
29/12/1999,91.23
03/01/2000,94.56
04/01/2000,91.67
05/01/2000,89.51
06/01/2000,89.94
07/01/2000,91.02
10/01/2000,94.45
11/01/2000,93.69
12/01/2000,93.24
13/01/2000,94.92
14/01/2000,94.76
17/01/2000,94.13
18/01/2000,92.7
19/01/2000,90.67
20/01/2000,90.8
21/01/2000,90.65
24/01/2000,89.49
25/01/2000,87.54
26/01/2000,88.87
27/01/2000,91.44
28/01/2000,92.06
31/01/2000,92.26
01/02/2000,92.4
02/02/2000,93.97
03/02/2000,96.75
04/02/2000,98.08
07/02/2000,97.55
